Time,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10
208,3.290704362,3.416519897,3.277495226,3.11844694,3.268366818,3.367259213,2.6639443,3.332830387,2.909073139,2.88423773
210,3.216864131,3.38940177,3.205931829,3.035558029,3.286327195,3.300963742,2.817171555,3.373692053,2.940858283,3.001170176
212,3.301482103,3.250396433,3.286482241,3.204492022,3.338285705,3.343028155,2.792354862,3.412448854,2.903974535,2.904883243
214,3.349751136,3.32744972,3.206932797,3.177015122,3.277904765,3.465042348,2.702973957,3.385511512,2.864137161,2.922095553
216,3.345609781,3.361373159,3.204788358,3.195558244,3.205460268,3.319285517,2.786568657,3.384956472,2.961177127,2.890775089
218,3.335945046,3.318211025,3.161403126,3.152256362,3.241714702,3.35874305,2.836816157,3.387317906,2.954255715,2.894293587
220,3.329245894,3.418255998,3.250500194,3.219833517,3.200049314,3.44149402,2.852562062,3.464978593,2.835508878,2.859632073
222,3.335358759,3.280158316,3.17004598,3.13492316,3.26692425,3.372500158,2.719446532,3.421057199,2.925733918,2.936130512
224,3.295132661,3.380693101,3.197811902,3.105013124,3.216867822,3.319858356,2.836838496,3.301919192,2.832786451,2.910679265
226,3.373352983,3.297965099,3.199110823,3.14455932,3.282076877,3.491132741,2.891506927,3.343511493,2.848981194,2.834052943
228,3.257104338,3.284798491,3.170600441,3.19720154,3.241553956,3.383649722,2.821924872,3.484725472,2.960547759,2.918231472
230,3.314506032,3.429934831,3.174431643,3.188035857,3.197005926,3.411342507,2.736650279,3.30258002,2.853265189,2.970735377
232,3.36681768,3.405381895,3.129350475,3.18952671,3.239727377,3.305693961,2.797296156,3.370656415,2.915061451,2.840673555
234,3.298368453,3.314870853,3.278140619,3.263830582,3.279984722,3.406611581,2.883569485,3.405537522,2.82929006,2.867395647
236,3.262635433,3.298429697,3.303751448,3.213713772,3.249428783,3.336243648,2.843653574,3.471782698,2.867953534,2.835273034
238,3.278429264,3.274788298,3.206423223,3.202677036,3.360737267,3.419507592,2.889446887,3.285704417,2.887551977,2.839885638
240,3.356122562,3.345654317,3.253056234,3.187990266,3.298798657,3.303811471,2.806665722,3.352422516,2.951954533,2.883190384
242,3.312753319,3.343484338,3.143013597,3.180084812,3.273363096,3.443039416,2.851659575,3.364359745,2.911311898,2.86602195
244,3.528975795,3.402462814,3.227699772,3.228614851,3.300595019,3.352897471,2.792843643,3.404011993,2.906645164,2.8448551
246,3.472111859,3.308406316,3.297169032,3.228302753,3.214882702,3.440057097,2.827976854,3.371906321,2.930393371,
248,3.33519233,3.354888119,3.255888542,3.113143224,3.28251236,3.48208787,2.826055308,3.326177831,2.876248268,
250,3.239699384,3.301315714,3.347402356,3.132884304,3.259463061,3.45014501,2.73451686,3.394546946,2.818484876,
